ID,Topic,Description,Status,Priority,Category,Date_Created,Date_Updated,Claude_Comments,User Comments,Claude_Comments_2,User 2
INST,[INSTRUCTIONS FOR CLAUDE],"CRITICAL RULES FOR AI: (1) NEVER overwrite existing comment columns - ALWAYS add a NEW column to the right. (2) Name new columns sequentially: Your_Comments, Claude_Comments, Your_Comments_2, Claude_Comments_2, etc. (3) Prefix each comment with timestamp: 'YYYY-MM-DD HH:MM: ' (4) Update Date_Updated column (Column H) to current date when modifying any row. (5) Update Status column (Column D) to Resolved when answering. (6) Fixed columns A-H are: ID, Topic, Description, Status, Priority, Category, Date_Created, Date_Updated. (7) Parser identifies columns by NAME not position - column order can vary. (8) ID column uses UUIDs (format: topic_abc123). (9) This CSV file is the TEMPLATE - use exact structure when creating exports.",,,,,,,,,
1,Current CSV Structure,What columns does your current CSV have when working with Claude Code? Share an example or describe the structure.,Resolved,HIGH,Technical,03/11/2025,05/11/2025,I need to see your actual CSV format to match it. Are you using: Issue/Description/Status? Or something else? This determines our import parser.,There isn't a proper one.We make them up each time. This is the first time we are thinking formally. This makes sense but we need to tell AI to uipdate the Date Updated column each time.,"2025-11-05 14:35: PERFECT! We'll use this CSV as the template. Final structure confirmed: ID (UUID), Topic, Description, Status, Priority, Category, Date_Created, Date_Updated, Your_Comments, Claude_Comments (+ expandable comment columns). Instructions will tell AI to update Date_Updated each time it modifies a row.",
2,Multi-Comment Columns Strategy,"You said: Claude 1, User 1, Claude 2, User 2 etc. Should we: (A) Add new columns each round (Claude_1, User_1, Claude_2...) or (B) Keep 2 columns and append with timestamps?",Resolved,HIGH,Data Model,03/11/2025,05/11/2025,"Option A = unlimited columns, harder to display. Option B = 2 columns (Your_Comments, Claude_Comments) with dated entries like '2025-11-03: Try Postgres | 2025-11-04: Yes, good choice'. Which do you prefer? Or Option C: Separate conversation log per topic?","I thought it's  just easier to add columns each time. But u know tech better.But if we update the same cell each time, it's harder to read so maybe it's also harder for AI to update properly. Which makes me think should we have a date and time for each comment?We probably need it for the database. So that would be even more columns. Think and come back to me. Remember I'm not a developer so I don't know tech well know to know implocations","2025-11-05 14:36: RECOMMENDATION - Add new columns each round (Your_Comments, Claude_Comments, Your_Comments_2, Claude_Comments_2, etc). SIMPLER for AI - just add to new column vs parsing existing text. For date/time: prefix each comment with ""YYYY-MM-DD HH:MM: "" syntax (like this one). In CSV = simple text. In DB = each comment stored as separate row with full timestamp. Best of both worlds!",
3,File Watching vs Manual,"Should app: (A) Watch file automatically and notify when CSV changes, (B) User clicks 'Check for Updates' button, (C) Both options available?",Resolved,HIGH,UX/Workflow,03/11/2025,05/11/2025,File watching = convenient but uses system resources. Manual = user controls timing. Hybrid = watch is default but can disable. What fits your workflow?,Does it really use a lot of resources to check say every 30 secs?But also need a manual option to update. Also user can set how often to check or not at all. That way I can turn it off when I don't need it,"2025-11-05 14:37: PERFECT! Checking every 30 secs uses negligible resources (just reads file modification timestamp). Implementation: (1) Auto-check with configurable interval (default 30s), (2) Manual ""Refresh"" button, (3) Settings to disable auto-check or change interval (10s/30s/60s/off). Toast notification when changes detected: ""CSV updated - click to import"".",
4,Column Order Handling,"If Claude messes up column order should we: (A) Auto-detect columns by name (flexible), (B) Enforce strict order and show error, (C) Auto-fix and re-export?",Resolved,MEDIUM,Technical,03/11/2025,05/11/2025,"Recommendation: Option A (detect by name). More robust. We parse headers, don't care about order. Example: ID can be column 1 or 5, we find it by 'ID' header. Agree?",Agree if we don't make a mistake,"2025-11-05 14:38: AGREED! Parser logic: Read header row → create columnName-to-index map → parse data rows by name. Validation: if required column missing (ID, Topic, Description, Status) → show clear error: ""Missing required column: [name]. Found: [list of actual columns]"". Flexible and robust.",
5,Technology Choice - Desktop or Web,"Build as: (A) Electron desktop app (works offline, file system access, quick build), (B) Next.js web app (upload/download CSV, hosted), (C) VS Code extension for Claude Code?",Resolved,HIGH,Technical,03/11/2025,05/11/2025,"Electron = 1-2 days, use immediately, offline. Web = 3-4 days, need hosting, upload/download. Extension = 2-3 days, integrated into Claude Code. Which fits your workflow best?",I don't ynderstand the VS Code extension to integrate with Code.How does that work? I know nothing about that. I want the database so can we have that withElectron. Also u create code so quickly so does it matter really if it's Electorn or Next.js. My other app uses Next amd I run a local server,"2025-11-05 14:39: DECISION - Next.js with local dev server (like your other app). Why: (1) You're familiar with Next.js, (2) SQLite/Turso works perfectly for database, (3) Just as fast to build as Electron, (4) Can easily add hosted version later if you want. VS Code extension = sidebar panel in Claude Code IDE, but more limited. Next.js = full control, better for Phase 2 AI features.",
6,Instructions Row Location,"Where to put AI instructions: (A) First row of CSV with [INSTRUCTIONS] marker, (B) Separate .txt file (issues_instructions.txt), (C) Built into app (user doesn't see it)?",Resolved,MEDIUM,UX,03/11/2025,05/11/2025,"Option A = visible to you and Claude. Option B = cleaner CSV but extra file. Option C = app generates on export, invisible. I lean toward A for transparency - you can edit instructions yourself.",A for now. We could change later.But it's easier to give a CSV to Code with no additional text.,"2025-11-05 14:40: AGREED! Row 1 with ID=""INST"" and [INSTRUCTIONS] marker in Topic field. Parser skips this row for data, includes in export. You can see and edit instructions anytime. Single file = simpler workflow with Claude Code.",
7,When Do You Need This,"Timeline: (A) This week (need bare minimum), (B) Next week (can wait for polish), (C) Two weeks (want it more complete)?",Resolved,HIGH,Planning,03/11/2025,05/11/2025,Determines scope. This week = import/display/export only. Next week = add file watching. Two weeks = add chat UI. What's your urgency?,U r doing all the coding and u r quick.So u can do it all if u think u can make it work,"2025-11-05 14:41: FULL SPEED AHEAD! Build complete CSV workflow: Import, all views (Conversation/Table/Board/Timeline/Analytics), search/filter, file watching, export, multi-project. You're confident I can deliver fast and you want working demo. Let's do it!",
8,Display Views Needed,"Which views for MVP: (A) Just list view, (B) List + detail modal, (C) List + detail + board view, (D) All views from current mock?",Resolved,MEDIUM,UX,03/11/2025,05/11/2025,Simpler = faster. List view might be enough initially. Detail modal helps for long descriptions. Board view is nice-to-have. What's minimum you need?,it's on UI playing with ythe same content so can u do them all?,"2025-11-05 14:42: YES! All views from current demo (index.html). True - same data, different UI. Conversation view, Table, Board, Timeline, Analytics. Easy to reuse components - just swap data source from data.js to database.",
9,Status Values,"What status values to support: (A) Open/In Progress/Resolved/Closed, (B) Open/Done, (C) Custom per project, (D) Match your current CSV?",Resolved,MEDIUM,Data Model,03/11/2025,05/11/2025,Need to know what statuses you're already using. We'll match that. Can always add more later. What's in your CSVs now?,Option A,"2025-11-05 14:43: CONFIRMED! Status values: Open, In Progress, Resolved, Closed. Color coding: Open=blue, In Progress=yellow, Resolved=green, Closed=gray. Stored as enum in DB for validation.",
